jumlah_penduduk,luas_wilayah,kepadatan_penduduk,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_wasting,label
1694740,370.0,4580.378378,99.88,91.26,95.31,5.99,3505157.0,4.23,642456,68.69,84.43,2,264,33,40.19,6.81,2,11.8,6.2,0
317520,46.2,6872.727273,98.88,72.44,90.69,5.02,2416966.0,6.81,565998,76.26,76.71,2,36,14,18.42,7.76,0,20.9,13.9,1
282780,39.08,7235.926305,100.0,72.2,94.12,6.05,2279411.0,7.68,623617,58.89,77.06,2,40,8,31.33,7.16,0,20.3,9.3,1
443053,577.22,767.563494,89.61,89.57,97.19,2.4,1149631.0,15.64,416870,84.88,75.82,1,73,21,18.0,13.44,0,12.9,5.3,1
1009434,511.71,1972.668113,96.29,86.12,97.3,3.78,1542418.0,11.96,488340,68.6,81.74,1,151,27,24.18,9.75,0,14.7,7.9,1
751011,1475.15,509.1082263,98.3,89.11,95.78,2.09,1193430.0,15.6,382249,73.54,71.46,0,69,30,9.98,14.67,1,14.5,7.2,1
1157292,573.75,2017.066667,97.59,84.45,95.78,4.47,1629368.0,7.52,491652,68.9,84.86,2,228,27,43.15,6.64,0,11.5,7.4,0
375699,32.82,11447.25777,99.31,68.44,96.55,6.07,1771068.0,6.49,662267,90.54,88.61,2,103,15,35.48,8.74,0,13.5,6.0,0
588000,1433.59,410.159111,80.19,92.39,77.45,1.83,1281699.0,13.65,352606,65.16,70.94,0,68,25,8.46,11.36,0,11.2,7.0,1
959500,1418.62,676.3615344,94.42,89.64,89.79,4.66,1418151.0,9.53,395069,58.06,73.18,0,70,33,14.86,9.19,0,13.0,7.9,0
741200,1249.23,593.3254885,84.87,84.5,81.28,4.52,1228909.0,10.63,411527,84.17,71.96,0,90,23,9.65,11.83,0,12.8,3.2,0
1107800,1144.53,967.9082243,97.9,91.3,87.85,5.65,1514567.0,6.53,423875,58.4,74.65,0,100,31,15.43,7.68,0,12.6,8.2,1
1253600,1745.16,718.3295514,96.41,89.13,82.5,4.91,1339073.0,8.69,387733,69.95,72.84,0,86,24,12.17,10.91,0,11.0,6.0,1
1677200,1523.56,1100.842763,92.0,90.84,92.13,5.79,1449994.0,10.72,385874,66.53,74.68,2,113,40,15.13,8.37,0,14.2,7.9,0
2715600,3473.44,781.8186006,98.18,92.89,84.03,5.7,1776726.0,9.45,399647,48.83,73.0,0,156,42,22.03,8.47,0,13.0,5.1,0
1139100,1797.1,633.8545434,95.49,85.34,77.48,3.67,1343326.0,8.93,386995,53.87,69.37,0,92,25,8.06,8.77,0,21.5,10.1,1
2586800,3313.46,780.6945006,97.51,70.3,64.47,4.01,1230888.0,9.51,441171,37.67,70.42,0,173,50,12.36,10.38,1,22.0,8.2,1
1743900,3592.9,485.3739319,97.44,86.08,82.63,4.75,1531769.0,7.34,448928,65.58,73.79,0,104,45,15.73,9.07,0,14.7,6.5,1
788200,1554.99,506.8842886,94.43,53.24,57.41,4.15,1111614.0,13.34,494000,64.28,70.56,0,60,27,11.67,12.72,0,12.5,6.5,0
697000,1653.72,421.4740101,97.45,57.47,59.37,3.27,1292893.0,11.9,396587,62.81,70.65,0,76,23,13.24,13.33,0,2.8,2.9,0
1176900,1724.51,682.4547263,97.75,72.97,66.12,3.24,1463401.0,17.19,514274,35.92,70.36,0,73,36,9.76,10.43,0,25.7,9.5,1
1644500,1493.29,1101.259635,97.63,89.77,86.7,5.48,1906645.0,9.24,429624,47.66,71.91,0,91,35,17.2,9.05,0,22.7,8.5,1
2148600,724.04,2967.515607,97.19,95.45,94.72,8.05,2128281.0,5.0,571696,54.83,81.88,2,154,28,46.93,4.03,0,7.9,5.2,0
1145400,984.64,1163.267793,98.9,85.99,89.38,4.67,1751031.0,9.8,486520,72.12,76.23,2,75,26,30.85,6.61,0,9.7,6.5,0
1351300,1109.84,1217.562892,98.01,90.53,94.06,4.66,1371890.0,9.15,488754,49.18,75.16,1,96,33,23.19,8.98,0,10.8,7.1,0
1124700,1289.07,872.4894692,98.86,87.91,87.83,4.68,1400193.0,10.89,513565,75.83,74.7,0,65,21,12.49,9.03,0,11.8,6.2,0
754500,1113.63,677.5140756,96.39,87.66,91.99,5.14,1232509.0,11.04,437296,48.87,74.02,0,50,27,15.59,12.46,0,12.4,4.9,0
681700,706.44,964.979333,99.61,90.32,92.9,4.16,1362878.0,9.8,431203,55.12,76.3,0,52,22,18.44,9.29,0,13.4,4.4,0
880700,1395.8,630.9643215,97.51,85.09,85.42,2.41,1447073.0,14.4,413947,65.31,73.28,0,70,24,19.22,12.28,0,14.8,8.3,0
1319600,2312.63,570.6057605,97.59,91.16,92.63,4.63,1640109.0,12.18,435936,52.66,71.8,0,70,41,9.38,8.09,0,13.4,7.4,0
1218600,1973.5,617.4816316,95.22,87.4,85.13,4.4,2154102.0,14.91,454336,55.44,71.4,0,63,36,13.85,6.83,0,15.5,7.1,0
1369500,1752.71,781.3614346,79.26,93.28,95.0,5.46,2084935.0,12.42,481969,63.86,75.29,2,90,36,15.67,5.06,0,10.7,6.7,0
1350400,1256.36,1074.851157,92.54,95.66,95.0,6.82,2233231.0,10.96,588316,54.51,78.44,2,93,34,31.24,3.67,0,14.8,8.0,0
1091800,1301.03,839.1812641,96.3,82.48,50.3,6.18,1837297.0,19.35,503207,53.92,66.82,0,37,27,6.43,9.19,0,7.1,6.2,0
1004500,1228.25,817.8302463,94.29,80.34,82.86,2.72,1787008.0,21.76,454716,79.66,66.19,0,54,22,1.05,9.09,0,8.5,6.7,0
875800,795.15,1101.427404,97.91,80.08,71.1,1.74,1628574.0,13.85,431127,75.02,70.32,0,64,21,7.51,9.43,0,16.8,7.9,1
1146600,2084.02,550.1866585,98.1,69.22,70.26,1.71,1758385.0,18.7,471860,47.09,69.13,0,82,29,6.14,3.95,0,10.8,11.0,0
295200,67.23,4390.896921,99.6,86.28,96.41,4.06,1825905.0,7.15,587723,63.16,80.97,2,67,10,30.53,6.6,0,10.0,6.0,0
153400,33.2,4620.481928,98.79,88.15,96.22,5.24,1472768.0,7.3,568280,80.75,80.78,2,35,3,25.99,6.11,0,12.4,6.6,0
865300,111.08,7789.881167,99.06,92.8,86.36,6.8,2071648.0,4.26,674660,94.22,84.0,2,196,16,41.77,5.04,0,13.4,6.0,0
247000,54.68,4517.190929,100.0,86.21,88.27,4.53,1602592.0,6.48,628380,82.9,76.93,0,31,6,31.86,5.29,0,20.2,7.2,1
216400,39.0,5548.717949,99.38,89.01,91.73,5.64,1610445.0,6.6,529512,84.38,78.3,2,30,8,26.91,5.96,0,8.0,4.3,0
136100,20.22,6730.959446,99.95,92.49,96.48,4.73,1797967.0,5.77,581006,80.03,80.9,2,35,6,35.23,5.18,0,8.3,8.0,0
200000,36.13,5535.566012,99.1,89.66,98.18,5.85,1498195.0,4.74,605131,93.94,83.71,2,67,7,34.96,5.84,0,10.6,5.5,0
2911400,335.93,8666.686512,98.15,84.21,97.81,6.76,2860798.0,4.65,718370,84.32,83.99,2,414,62,29.86,4.06,0,5.7,4.1,0
220200,194.17,1134.057784,99.16,93.72,95.06,4.52,1851333.0,3.31,613985,83.0,79.07,2,32,5,36.1,5.09,0,12.8,2.8,1
1312766,2771.414,473.6809441,78.11,80.2,62.08,9.05,2975006.0,9.27,455297,51.77,70.28,0,57,39,5.41,4.69,0,22.1,9.7,1
1433698,3312.18,432.8563061,75.64,78.09,68.83,7.57,2964712.0,8.68,419066,50.26,67.68,0,41,44,6.2,4.82,0,24.1,11.2,1
3362605,1027.757,3271.789927,97.02,93.4,87.75,6.94,4006029.0,6.93,604362,49.93,75.56,2,141,43,33.68,2.59,0,19.4,9.2,1
1682133,1469.908,1144.379784,94.62,83.38,84.07,9.94,3803174.0,4.85,425751,47.83,72.63,0,47,32,25.53,3.23,2,16.7,18.2,1
