tahun,kode_provinsi,provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,luas_wilayah,kepadatan_penduduk,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_overweight,prevalensi_wasting,prevalensi_stunting,label
2021,35,Jawa Timur,3577,Kota Madiun,196917,33.92,5805.336085,99.53,92.15,97.31,8.15,1272732,5.09,551620,93.94,81.25,SMA,66,7,36.7,5.89,0,11.6,,8.4,12.4,Tidak Prioritas
2021,35,Jawa Timur,3578,Kota Surabaya,2880284,350.54,8216.705654,98.06,81.6,95.2,9.68,1895763,5.23,652540,84.32,82.31,SMA,436,62,36.97,3.82,0,16.6,,6.8,28.9,Prioritas
2021,35,Jawa Timur,3579,Kota Batu,214653,136.74,1569.789381,100,95.72,95.57,6.57,1475266,4.09,564010,83,76.28,SMP,31,5,35.72,5.33,0,11.6,,6.5,15,Tidak Prioritas
2021,36,Banten,3601,Pandeglang,1284640,2746.89,467.6707112,82.01,70.27,49.11,7.7,1393582,10.72,416248,51.77,65.17,SD,43,39,5.6,3.6,0,18,,5.8,37.8,Prioritas
2021,36,Banten,3602,Lebak,1400630,3426.56,408.7568874,73.32,73.49,56.82,7.86,1288038,10.29,380681,50.26,64.03,SD,45,44,5.8,3.14,0,19.1,,6.2,27.3,Prioritas
2021,36,Banten,3603,Tangerang,3279710,1011.86,3241.268555,97.97,89.63,85.89,9.06,2158650,7.12,576122,49.93,72.29,SMP,125,43,33.58,1.84,0,17.9,,8.4,23.3,Prioritas
2021,36,Banten,3604,Serang,1640110,1734.28,945.7008096,92.33,84.38,80.34,10.58,1751710,5.49,385864,47.83,66.82,SMP,54,32,13.96,2.44,0,18,,5.8,23.4,Prioritas
2021,36,Banten,3671,Kota Tangerang,1912030,153.93,12421.42532,98,95.99,94.94,9.07,2705433,5.93,695225,54.25,78.5,SMA,143,37,34.81,1.42,0,11.9,,5.9,15.3,Tidak Prioritas
2021,36,Banten,3672,Kota Cilegon,439480,175.5,2504.159544,98.72,91.7,97.07,10.13,1713577,4.24,572780,58.16,73.35,SMA,37,9,43.4,2.02,0,15.5,,7.2,20.6,Prioritas
2021,36,Banten,3673,Kota Serang,700950,266.71,2628.135428,98.38,91.05,90.76,9.41,2009273,6.79,460613,46.76,72.44,SMP,43,16,28.14,1.29,0,18,,8.1,23.4,Prioritas
