,jumlah_penduduk,luas_wilayah,kategori_kepadatan,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_wasting,label
225,668035,4369.25,1,96.92,90.01,88.25,3.96,1322883.0,9.99,410548,47.81,73.05,1,54,22,15.48,8.4,0,8.7,7.5,0
226,431043,2302.86,1,75.1,76.55,76.17,2.1,1639946.0,13.28,571657,59.43,72.01,1,44,26,13.97,8.55,0,16.7,7.9,1
227,342178,2234.1,1,65.94,68.45,67.81,3.09,1364698.0,11.8,411191,58.92,69.07,1,41,10,9.64,12.35,0,18.9,12.5,1
228,202681,1842.56,1,91.18,92.79,95.22,3.99,1455086.0,10.91,487341,67.98,68.78,0,17,9,8.98,8.28,0,10.2,6.8,0
229,195962,5937.8,0,86.25,73.43,68.57,5.11,1968165.0,18.26,604903,69.55,69.63,0,22,9,13.74,7.49,0,18.5,15.9,1
230,1706371,352.51,3,96.71,93.17,95.16,7.49,2321726.0,10.22,643356,64.4,81.72,2,241,40,36.62,4.59,0,16.1,11.5,0
231,200673,447.31,3,95.69,92.39,96.44,5.05,1552232.0,11.23,649951,73.47,78.07,2,44,9,40.64,8.09,0,12.5,9.1,0
232,147836,625.91,1,88.58,83.15,61.28,2.71,1865778.0,8.88,408917,81.74,73.25,1,33,7,20.51,10.23,0,8.4,5.3,1
233,242976,367.73,3,97.52,91.3,86.05,5.64,2373799.0,12.65,583867,78.68,78.36,1,39,10,27.98,7.84,0,13.8,9.0,0
234,171500,1220.21,1,62.72,90.52,83.81,3.56,1620519.0,17.51,467762,50.01,74.06,1,49,13,17.6,9.16,0,9.8,14.9,1
235,285700,1548.99,1,56.37,90.0,64.41,2.94,2050221.0,14.79,566433,60.77,74.43,1,61,23,12.32,11.66,0,12.5,5.3,1
236,306700,4481.99,1,84.11,88.22,82.84,3.33,1972109.0,11.29,459171,60.72,72.27,1,42,28,20.73,7.49,1,14.2,7.1,1
237,131100,2608.91,1,84.18,90.78,86.43,3.81,1793447.0,17.83,415715,70.34,70.92,1,45,16,18.25,9.52,0,9.5,5.4,0
238,215100,2432.81,1,70.93,90.38,87.17,2.68,1600361.0,18.0,478617,54.45,70.27,1,55,22,25.53,9.06,0,14.8,5.8,1
239,198800,4138.68,0,75.45,94.78,80.94,3.14,2513027.0,10.76,534660,57.68,73.0,1,31,17,33.04,4.86,1,14.1,14.3,1
240,110300,1666.62,1,59.7,77.51,55.62,2.72,1391866.0,11.15,507046,48.86,72.95,1,22,13,14.85,9.94,0,5.2,8.2,0
241,154700,749.39,1,62.14,91.63,69.25,2.41,1574808.0,14.12,465292,46.88,71.38,1,35,13,18.92,13.17,0,11.3,2.6,1
242,121100,1132.3,1,50.44,87.15,83.07,3.2,1815248.0,9.4,549468,60.38,70.81,1,38,20,35.29,7.89,0,12.2,8.6,1
243,391100,150.31,3,93.38,95.6,93.94,5.04,2254892.0,14.71,810507,60.53,83.38,2,113,20,41.87,9.81,0,4.5,4.1,0
244,312430,2116.01,1,63.16,97.61,83.95,2.25,1381792.0,11.17,530803,63.08,71.72,1,45,17,11.92,8.5,0,13.5,4.9,1
245,662540,2901.98,1,63.71,86.5,67.82,3.35,1320125.0,10.52,463925,49.04,69.93,0,71,25,6.57,9.19,0,13.0,6.5,0
246,1105000,2218.84,3,89.85,94.39,95.58,4.95,1673470.0,12.79,508494,45.76,71.55,0,71,35,13.95,7.61,0,11.0,7.1,0
247,1142580,3867.43,2,85.51,95.57,84.16,3.09,1674350.0,13.8,465856,43.61,72.44,1,48,37,14.97,10.59,0,13.3,6.3,0
248,1508330,4548.93,2,85.89,91.6,80.2,3.25,1489979.0,10.65,503645,44.58,73.39,0,77,42,18.3,9.35,0,14.8,7.0,0
249,653850,2656.39,1,67.73,95.74,80.23,5.73,1564167.0,17.17,510098,43.04,70.78,1,72,27,8.81,10.28,0,18.0,7.4,1
250,491110,3531.1,1,69.07,90.14,78.48,3.07,1743659.0,11.02,433471,54.87,70.51,0,60,11,12.12,7.11,0,16.4,10.2,1
251,445170,3107.47,1,84.62,91.19,84.49,3.46,1716040.0,8.04,522396,59.58,71.56,0,32,20,18.92,8.44,0,10.9,9.9,0
252,494280,1279.6,2,87.49,91.2,88.73,4.76,1376401.0,12.89,491249,57.75,69.46,0,26,13,8.29,8.43,0,6.3,5.2,0
253,419590,614.97,3,95.64,92.71,88.72,4.66,1222457.0,9.14,555787,51.81,73.11,1,53,12,17.64,10.82,0,16.3,8.8,0
254,237940,2200.51,1,81.39,92.81,81.14,2.46,2016626.0,6.73,525183,56.3,67.79,0,18,8,12.2,8.75,0,2.9,3.1,0
